RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2802,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1692,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2132,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2759,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1694,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1728,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4834,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
5478,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1313,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
8318,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4031,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1678,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1087,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1534,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1213,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1807,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2000,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3716,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3126,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
10310,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1926,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1798,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2044,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
