RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1701,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1720,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1665,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2256,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
5472,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2565,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1633,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2024,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1563,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1169,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
5459,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2835,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1692,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
4262,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
