RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
11772,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
27005,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2496,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
6616,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
4432,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2313,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
6063,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2456,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2853,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2036,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2221,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1678,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2235,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1978,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1934,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2135,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1729,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
3008,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1993,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1900,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1704,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2306,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
