RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3766,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
6370,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4110,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4516,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3936,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4892,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4184,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2972,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
6049,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4771,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2492,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
4739,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
5620,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
