RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1463,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
3847,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1379,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1431,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1635,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2143,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2169,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1127,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2403,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1506,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
3923,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1545,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1211,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1141,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1199,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1406,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2543,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1441,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2179,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2079,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1469,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1497,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2017,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1737,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1941,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1975,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2139,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
