RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
6322,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2127,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3479,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2928,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2601,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2768,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3978,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1929,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2855,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2224,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4102,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1892,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1864,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3776,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4180,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
