RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1380,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2753,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2644,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1446,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3331,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1846,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4059,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4014,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2064,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2501,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2305,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
28564,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2091,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1964,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4597,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2116,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1928,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2014,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1856,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1698,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1911,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4396,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1659,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4358,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
7106,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2813,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
1989,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2581,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
5055,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
9063,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3292,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2369,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
7980,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2362,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3216,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2129,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3006,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
5442,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2237,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
9339,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
22874,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
5413,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
31922,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
24809,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
