RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2083,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2074,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
5236,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1499,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1812,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1825,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1642,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1868,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2991,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1963,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3781,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2016,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3261,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1740,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
4859,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
17483,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2652,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
