RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2815,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1855,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1983,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1783,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2063,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2165,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2310,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2567,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1911,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1458,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2461,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1775,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3423,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2120,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2070,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3303,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1796,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2014,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1799,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1407,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1470,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1918,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1639,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1447,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2215,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1774,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1579,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1659,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2835,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2215,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1598,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1897,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1631,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2065,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2006,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3286,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2375,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1735,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1447,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
