RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2838,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3630,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2038,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2414,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2079,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1927,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2462,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4334,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3287,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2902,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3038,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3838,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2039,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1824,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2381,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4030,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2214,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1934,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1438,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2662,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4582,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3422,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2167,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
