RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3476,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3594,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2054,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2331,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2548,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2087,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3178,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2623,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3014,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5126,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7376,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2334,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3907,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3614,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2903,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4917,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4822,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3053,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7740,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5497,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4238,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2775,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3603,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
8743,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2638,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4011,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3001,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2431,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4280,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3391,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5582,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2527,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2917,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2484,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2787,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4102,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4743,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2500,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5688,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4261,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
18206,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
6359,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2703,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2831,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5282,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3065,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2808,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4319,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4147,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2060,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
27162,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2623,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3232,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
file,isFamiliar,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_M_david_camer(14).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_F_Theresa_May(3).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_F_Jennifer_Saunders.png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_M_Gordon_Brown(19).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_M_Michael_McIntyr(8).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_F_nicola_sturge(10).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_F_Julie_Walters(20).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_M_Tony_Blair.png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_M_Russell_Howard(10).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_M_keir_starmer(6).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_F_Dawn_Roma(4).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_M_Ewan_McGregor(3).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_M_jeremy_corbyn(2).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_M_Michael_Gove(9).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_M_nigel_farage(5).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_M_Jimmy_Carr(5).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_M_Simon_Pegg(8).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_M_Peter_Kay(3).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
P_M_Sajid_Javid(4).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
E_F_Sarah_Millican(1).png,0,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
age: 28,gender: Female,handedness: right,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
