RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
4221,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2170,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3692,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
5884,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2621,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3711,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3432,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2285,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3309,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2995,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2434,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2289,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3355,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2666,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2360,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2352,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2969,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2982,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2648,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
25443,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
4590,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3466,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
50807,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
5334,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3941,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2641,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2911,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3342,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2506,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3739,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
5285,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
7201,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2829,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3675,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
9637,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
31499,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
10166,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2760,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
5246,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3033,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2222,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2421,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
4191,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
