"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness"
"2398","E_F_sandra_bullock.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_sandra_bullock.jpg P_M_george_Wbush.jpg",0.790121811293876,"31","Female","right"
"4159","E_M_nicolas_cage.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_nicolas_cage.jpg P_F_tehresy_may.jpg",0.790121811293876,"31","Female","right"
"5256","E_F_sandra_bullock.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_sandra_bullock.jpg P_F_hillary_clinton.jpg",0.790121811293876,"31","Female","right"
"3607","E_F_sandra_bullock.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_sandra_bullock.jpg P_M_bill_clinton.jpg",0.790121811293876,"31","Female","right"
"3284","E_M_michael_caine.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_michael_caine.jpg P_M_david_cameron.jpg",-1.21152011065061,"31","Female","right"
"2210","E_F_Judi_Dench.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Judi_Dench.jpg P_M_david_cameron.jpg",0.790121811293876,"31","Female","right"
"5912","E_F_keira_knightley.jpg","P_M_Tony_Blair.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg P_M_Tony_Blair.jpg",0.790121811293876,"31","Female","right"
"17426","E_M_Hugh_Grant.jpg","P_M_Tony_Blair.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",2,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_Hugh_Grant.jpg P_M_Tony_Blair.jpg",-1.8787340846321,"31","Female","right"
"28753","E_M_tom_hankes.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_tom_hankes.jpg P_F_hillary_clinton.jpg",0.790121811293876,"31","Female","right"
"36382","P_M_boris_johnson.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_M_boris_johnson.jpg P_M_donald_trump.jpg",0.790121811293876,"31","Female","right"
"2219","P_F_hillary_clinton.jpg","P_F_nicola_sturgeon.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_F_hillary_clinton.jpg P_F_nicola_sturgeon.jpg",0.790121811293876,"31","Female","right"
"3139","E_F_sandra_bullock.jpg","E_M_Hugh_Grant.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_sandra_bullock.jpg E_M_Hugh_Grant.jpg",0.790121811293876,"31","Female","right"
"2792","E_F_angelina_jolie.jpg","E_F_jennifer_aniston.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_angelina_jolie.jpg E_F_jennifer_aniston.jpg",-1.21152011065061,"31","Female","right"
"19256","E_F_Judi_Dench.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Judi_Dench.jpg P_M_boris_johnson.jpg",0.790121811293876,"31","Female","right"
"7796","E_F_keira_knightley.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg P_M_george_Wbush.jpg",0.790121811293876,"31","Female","right"
"29947","E_M_Hugh_Grant.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",2,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_Hugh_Grant.jpg E_M_michael_caine.jpg",-1.8787340846321,"31","Female","right"
"5970","P_F_hillary_clinton.jpg","P_M_david_cameron.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_F_hillary_clinton.jpg P_M_david_cameron.jpg",0.790121811293876,"31","Female","right"
"2672","P_F_tehresy_may.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_F_tehresy_may.jpg P_M_donald_trump.jpg",0.790121811293876,"31","Female","right"
"3564","P_F_tehresy_may.jpg","P_M_boris_johnson.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_F_tehresy_may.jpg P_M_boris_johnson.jpg",0.790121811293876,"31","Female","right"
"2183","E_F_jennifer_aniston.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_jennifer_aniston.jpg P_M_boris_johnson.jpg",0.790121811293876,"31","Female","right"
"2303","P_F_nicola_sturgeon.jpg","P_M_Tony_Blair.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_F_nicola_sturgeon.jpg P_M_Tony_Blair.jpg",0.790121811293876,"31","Female","right"
"2523","E_F_keira_knightley.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg P_M_bill_clinton.jpg",0.790121811293876,"31","Female","right"
"2277","E_F_keira_knightley.jpg","E_M_Hugh_Grant.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg E_M_Hugh_Grant.jpg",0.790121811293876,"31","Female","right"
"2251","E_F_angelina_jolie.jpg","P_M_Tony_Blair.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_angelina_jolie.jpg P_M_Tony_Blair.jpg",0.790121811293876,"31","Female","right"
"5249","E_F_angelina_jolie.jpg","E_F_sandra_bullock.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_angelina_jolie.jpg E_F_sandra_bullock.jpg",-1.21152011065061,"31","Female","right"
"3378","E_M_michael_caine.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_michael_caine.jpg P_M_boris_johnson.jpg",0.122907837312381,"31","Female","right"
"2444","E_F_jennifer_aniston.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_jennifer_aniston.jpg P_F_hillary_clinton.jpg",-1.21152011065061,"31","Female","right"
