RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1941,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2057,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2044,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1533,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2258,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1684,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2806,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1657,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2069,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1756,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1726,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2969,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1871,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1989,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1791,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2244,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2985,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3021,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
4753,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1644,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1740,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2555,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2082,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2398,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2375,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3412,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2506,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
7782,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1912,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1949,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
