RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1708,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3233,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3711,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4004,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
6810,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1955,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2463,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1844,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2089,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3862,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4651,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4896,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2298,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3072,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
7450,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3896,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3618,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1721,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2376,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1576,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1541,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1660,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2479,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4672,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3151,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2783,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2852,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3224,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1843,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4215,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2439,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1926,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1624,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2159,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4346,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2176,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2891,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1584,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2363,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1646,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2588,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3366,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3600,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1566,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2917,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2358,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1842,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2816,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2126,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3008,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2357,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2872,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3009,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2110,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2581,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
