RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1954,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3071,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2230,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2213,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1954,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3182,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2276,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2102,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2545,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2383,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2156,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2705,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2222,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
4207,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2012,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2132,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2182,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2366,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2288,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1913,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2495,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2022,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2140,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1954,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2962,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2715,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1898,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2690,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
