RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1454,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1805,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1784,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1768,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3061,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2974,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1913,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1481,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1853,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1999,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2583,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1397,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1835,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2907,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1454,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2825,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2083,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1619,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1397,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3088,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2097,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2390,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1564,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3970,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2852,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1669,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1133,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1349,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2823,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1696,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1829,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1751,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1434,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2223,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1755,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1591,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2065,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1989,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1282,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1612,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3671,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1515,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2608,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1959,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1519,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1669,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2255,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1308,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1832,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2349,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3267,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
file,isFamiliar,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_M_jeremy_corbyn.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_F_Theresa_May.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_M_Michael_Gove.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_F_Jennifer_Saunders.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_M_Michael_McIntyr.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_M_Ewan_McGregor.png,0,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_M_nigel_farage.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_M_Gordon_Brown.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_M_Tony_Blair.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_M_Sajid_Javid.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_M_keir_starmer.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_M_Simon_Pegg.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_M_Russell_Howard.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_F_Julie_Walters.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_M_Peter_Kay.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_F_nicola_sturge.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_F_Sarah_Millican.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_M_Jimmy_Carr.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
E_F_Dawn_Roma_French.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
P_M_david_camer.png,1,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
age: 28,gender: Female,handedness: right,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
