RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
3651,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5552,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
21739,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
43687,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
74797,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
3997,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7022,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
2868,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
14403,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
30829,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
2989,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
3023,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
11736,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
93499,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7524,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
32036,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
20643,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
