RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1532,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1413,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1860,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1608,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1609,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1660,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1668,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1590,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1789,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2334,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1671,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2491,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1815,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2156,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1855,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1472,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
