RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5615,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3765,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2638,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
6868,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
6348,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4950,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2571,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
6215,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
6525,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5063,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
7604,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5405,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5956,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4397,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
6375,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
6353,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
5390,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
8569,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4845,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3464,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
19516,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3663,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2622,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
27997,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
7950,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
