RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
9191,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5357,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
6606,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5396,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
6355,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3070,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3337,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3325,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
6292,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2208,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
2660,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3289,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
