RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2501,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
file,isFamiliar,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_M_nigel_farage.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_M_Michael_McIntyr.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_F_Theresa_May.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_M_Gordon_Brown.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_F_Sarah_Millican.png,0,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_M_david_camer.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_F_Dawn_Roma_French.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_M_Tony_Blair.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_F_nicola_sturge.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_M_Peter_Kay.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_M_Ewan_McGregor.png,0,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_M_Sajid_Javid.png,0,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_M_keir_starmer.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_M_Russell_Howard.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_M_Jimmy_Carr.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_F_Julie_Walters.png,0,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_F_Jennifer_Saunders.png,0,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_M_jeremy_corbyn.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
E_M_Simon_Pegg.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
P_M_Michael_Gove.png,1,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
age: 30,gender: Female,handedness: right,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
