RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1652,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1995,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3662,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1749,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1590,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2029,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1701,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3011,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1829,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2087,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2329,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1682,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2925,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2259,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1938,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3859,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3164,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2485,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2217,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2723,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1431,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1574,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
3515,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2014,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1465,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1397,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
