RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6466,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
5666,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4048,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4200,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4525,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6833,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4240,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
18208,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4128,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4691,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4144,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3667,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
5114,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4149,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4170,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7132,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
8455,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4406,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4374,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3365,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3025,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
2861,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7823,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
2878,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
2657,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
2612,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6541,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3872,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
2426,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
11153,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3368,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3121,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
14640,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
8573,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7891,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3780,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
10344,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3031,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
9305,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
5126,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4731,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4526,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4439,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7018,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6474,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7224,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
8634,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3062,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3447,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
9041,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
4437,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6423,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6318,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
6641,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
5159,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
22677,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
3494,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
7298,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e80b109ca1800791e1ca40c,"06/30/2022, 15:04:43"
