RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1992,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2456,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
4782,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2120,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2716,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3848,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2113,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2436,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2355,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2159,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2640,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
5545,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2381,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
4131,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2932,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
