RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1799,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
4784,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2715,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1745,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1456,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1711,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1893,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1434,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
3572,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
3822,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1737,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1991,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2234,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1869,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1515,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1722,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1583,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1711,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
