RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
17390,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2073,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1809,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1859,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2360,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2783,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2538,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2425,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2085,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
5695,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2752,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
10897,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2128,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2021,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1955,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2331,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2450,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1841,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4694,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
6633,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
7671,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2119,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3148,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1885,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1883,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3627,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2055,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2221,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
6492,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
17133,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4216,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2978,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
6237,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
6456,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1688,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1797,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2050,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3016,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1735,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2425,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3106,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1739,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3168,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
3782,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2520,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
