RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3593,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2393,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3002,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2771,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3200,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2562,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2886,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3252,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2922,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2651,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3284,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2807,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3089,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2975,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4353,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2805,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2796,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2802,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2887,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2958,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3369,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4066,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2671,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
