RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
20422,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3164,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
5993,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1857,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3519,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3494,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3118,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3290,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3392,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2410,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
