RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1983,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4522,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2475,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1555,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2659,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1887,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
1719,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2366,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3790,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2179,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4531,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2655,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
