RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2998,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2584,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3081,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1959,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1568,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3015,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2839,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1414,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1918,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
980,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1889,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1711,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1444,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1527,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1929,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1644,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2108,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1290,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1534,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2505,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3424,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
