RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2627,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3260,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2348,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5123,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2129,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5548,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4387,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3376,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
5955,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2791,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2506,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3285,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
1866,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3674,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3612,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3018,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2231,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
1838,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4196,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2379,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
2824,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
6795,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
3187,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
4029,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
file,isFamiliar,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_M_robert_de_niro.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_M_nicolas_cage.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_F_Kate_Winslet.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_M_david_cameron.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_F_jennifer_aniston.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_M_donald_trump.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_M_boris_johnson.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_M_george_Wbush.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_F_Judi_Dench.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_M_tom_hankes.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_M_bill_clinton.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_F_sandra_bullock.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_M_Tony_Blair.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_M_Hugh_Grant.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_F_keira_knightley.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_F_nicola_sturgeon.jpg,0,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_F_hillary_clinton.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
P_F_tehresy_may.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_M_michael_caine.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
E_F_angelina_jolie.jpg,1,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
age: 29,gender: Female,handedness: right,5b1a88970ada0a0001e0f483,"04/26/2022, 13:50:52"
