RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3bef448db265999e0f5adb,26/04/2022 15:19
E_M_robert_de_niro.jpg,1,5f3bef448db265999e0f5adb,12/11/2022 15:19,,,,,,,
P_F_nicola_sturgeon.jpg,1,5f3bef448db265999e0f5adb,13/11/2022 15:19,,,,,,,
E_F_angelina_jolie.jpg,1,5f3bef448db265999e0f5adb,14/11/2022 15:19,,,,,,,
E_F_jennifer_aniston.jpg,1,5f3bef448db265999e0f5adb,15/11/2022 15:19,,,,,,,
E_F_sandra_bullock.jpg,1,5f3bef448db265999e0f5adb,16/11/2022 15:19,,,,,,,
E_F_keira_knightley.jpg,1,5f3bef448db265999e0f5adb,17/11/2022 15:19,,,,,,,
P_F_tehresy_may.jpg,1,5f3bef448db265999e0f5adb,18/11/2022 15:19,,,,,,,
P_M_boris_johnson.jpg,1,5f3bef448db265999e0f5adb,19/11/2022 15:19,,,,,,,
E_M_michael_caine.jpg,1,5f3bef448db265999e0f5adb,20/11/2022 15:19,,,,,,,
P_M_bill_clinton.jpg,1,5f3bef448db265999e0f5adb,21/11/2022 15:19,,,,,,,
P_M_Tony_Blair.jpg,1,5f3bef448db265999e0f5adb,22/11/2022 15:19,,,,,,,
age: 25,gender: Female,handedness: right,5f3bef448db265999e0f5adb,,,,,,,
