RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1423,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2170,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2559,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2590,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1990,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1999,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1478,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2142,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1079,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2111,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
3126,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1742,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1391,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
3518,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2734,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1678,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2687,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2319,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
4055,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1990,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
5494,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2790,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2326,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1732,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1944,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1902,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1806,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1439,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1223,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
1559,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2254,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2806,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
2535,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595bb42745265c000166d399,"10/13/2022, 07:22:12"
