RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
893,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1708,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1870,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1268,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2555,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
751,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
864,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1208,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
795,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
789,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
809,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1088,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1049,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1179,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
681,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1667,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
925,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1646,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
886,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
746,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
674,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
695,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1700,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
703,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
687,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
671,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
760,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
725,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
793,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
802,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
739,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
731,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
791,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
942,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
772,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
868,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1100,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1002,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
852,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
790,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
955,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
782,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1692,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
905,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
776,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
880,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
760,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
831,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
816,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
944,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
922,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
711,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
738,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1034,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
781,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
875,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
985,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
766,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1135,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1145,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1092,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
932,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2422,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
871,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
684,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
883,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
711,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
713,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
833,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
841,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
699,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
987,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1707,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1133,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
3635,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1080,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
2637,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1435,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
3599,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
1809,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63289f0f28963caadc782a5d,"10/13/2022, 14:05:48"
