RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
6365,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
5015,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
15868,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3604,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3122,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3415,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
2405,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3130,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3035,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3434,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
3771,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
1758,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ca4c1ca21fa370016bc0174,"10/13/2022, 14:11:45"
