RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_F_Jennifer_Saunders.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_keir_starmer.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_F_Theresa_May.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_david_camer.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Jimmy_Carr.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_Sajid_Javid.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Russell_Howard.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_jeremy_corbyn.png,1,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
file,imageryAns,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_F_Dawn_Roma_French.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Jimmy_Carr.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_david_camer.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_F_Sarah_Millican.png,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_F_Theresa_May.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Russell_Howard.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_Tony_Blair.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_keir_starmer.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_F_Julie_Walters.png,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_F_Jennifer_Saunders.png,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_Michael_Gove.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_Sajid_Javid.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_nigel_farage.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Simon_Pegg.png,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_F_nicola_sturge.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_Gordon_Brown.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Ewan_McGregor.png,5,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
P_M_jeremy_corbyn.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Michael_McIntyr.png,2,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
E_M_Peter_Kay.png,3,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
age: 25,gender: Female,handedness: right,5a799309f49c9a0001f31396,"10/13/2022, 14:12:13"
