RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2292,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
7350,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4600,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
9955,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3061,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3972,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4784,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
7327,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
8154,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2713,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2180,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3143,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3639,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4681,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
4459,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
3140,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
2754,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60514236bdcfc4985e31b4bf,"10/13/2022, 14:22:23"
