RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1330,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2172,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1356,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1563,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1272,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
3287,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2761,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1842,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1238,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2670,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1228,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1889,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1769,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1304,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
832,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
785,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1110,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1245,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2330,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1649,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2022,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
15762,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1580,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2540,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1180,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
4459,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
4071,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1839,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2761,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1352,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2199,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2860,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2678,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2071,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
2260,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1905,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1232,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
1495,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287aec269c2639dc382196,"10/13/2022, 14:57:32"
