RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3779,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3208,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2436,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2860,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2723,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
3557,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
5156,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
6946,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2532,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
12648,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
2322,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62e1547499643e7b972692d1,"10/13/2022, 14:37:11"
