RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1582,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1095,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1981,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2416,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1586,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1438,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1175,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2256,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1286,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2783,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1166,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1415,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2165,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1367,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1279,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1577,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1094,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1127,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1111,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1438,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1598,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2149,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1463,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1254,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2391,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2790,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1490,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1862,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2048,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1785,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1990,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1803,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1255,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2160,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
2375,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1141,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1127,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1023,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1133,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1871,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1737,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
1479,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,605b2b10df3fd109ccf7f7ea,"10/13/2022, 14:06:53"
