RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
4053,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2349,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1985,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2070,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2040,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2199,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
5214,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3332,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1879,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2027,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2146,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
