RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2363,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3537,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
6082,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2775,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
11574,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
6574,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
7460,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2303,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3093,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2175,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3021,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2458,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3616,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2452,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2714,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3726,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2613,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2056,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2627,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3295,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3227,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
5345,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4450,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
11586,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
4092,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3276,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
5523,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2385,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
20447,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2697,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2342,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3002,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2202,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2876,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
12643,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3612,P_F_angela_rayner.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3459,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3719,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2447,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2924,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2742,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2136,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2292,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2080,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3283,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2225,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
2785,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
3291,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
15634,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
7367,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
8945,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
7843,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59d3bb3200d4940001817436,"11/30/2021, 07:31:56"
