RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3728,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3561,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4018,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3250,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4209,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4043,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3490,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
2540,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4296,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3680,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
