RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2954,E_M_robert_de_niro.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3199,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2743,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2750,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2567,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
2812,P_F_esther_mcvey.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3310,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3141,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
3278,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
4284,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,57fc3e1a7a62880001c197ac,"11/30/2021, 07:16:41"
