RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2482,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2335,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2923,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2482,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2313,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2167,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2372,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2255,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2296,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2163,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2572,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
1987,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4057,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2625,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
2692,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
4767,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
3513,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c014b9ef70a16000191765c,"11/30/2021, 07:23:31"
