RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
12628,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
6578,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4649,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4646,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
4241,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
2981,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
2873,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
3650,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
6269,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
file,isFamiliar,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
P_M_bill_clinton.jpg,1,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
E_M_liam_neeson.jpg,1,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
E_F_Judi_Dench.jpg,1,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
E_M_Hugh_Grant.jpg,1,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
P_M_david_cameron.jpg,1,60fe8e374459cae904f39ff1,"11/28/2021, 19:11:58"
