RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1939,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2022,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1976,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
938,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
831,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1951,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2412,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1736,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1548,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1683,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1504,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1174,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1667,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1506,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2883,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1333,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1099,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2181,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2967,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1172,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
5006,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1279,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1046,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
922,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1061,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
3333,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2517,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1893,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1288,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1071,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1195,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1984,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2921,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1729,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1256,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
4108,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
1166,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2839,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
2118,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6171a2b0fe9fb7af0052c2c2,"11/02/2022, 16:04:17"
