RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2710,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2139,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2410,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
2958,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
file,isFamiliar,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_F_nicola_sturgeon.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_george_Wbush.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_nicolas_cage.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_robert_de_niro.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_Judi_Dench.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_Hugh_Grant.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_F_hillary_clinton.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_boris_johnson.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_Kate_Winslet.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_bill_clinton.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_david_cameron.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_keira_knightley.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_jennifer_aniston.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_michael_caine.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_angelina_jolie.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_donald_trump.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_tom_hankes.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_F_tehresy_may.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_sandra_bullock.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_Tony_Blair.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
file,imageryAns,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_bill_clinton.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_george_Wbush.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_sandra_bullock.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_jennifer_aniston.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_robert_de_niro.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_F_hillary_clinton.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_Tony_Blair.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_Kate_Winslet.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_Judi_Dench.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_boris_johnson.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_F_nicola_sturgeon.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_nicolas_cage.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_angelina_jolie.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_tom_hankes.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_david_cameron.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_F_tehresy_may.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
P_M_donald_trump.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_F_keira_knightley.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_michael_caine.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
E_M_Hugh_Grant.jpg,1,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
age: 28,gender: Male,handedness: right,5d6a924a9e02d2001514311a,"11/02/2022, 16:08:33"
