RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
5709,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
8100,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
8681,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2410,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
6302,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
5437,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4859,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3981,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4694,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
5085,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3866,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2846,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4449,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
6156,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2460,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2344,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
6488,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
