RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
115965,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5002,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
7769,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3460,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4915,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3106,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
3963,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4812,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
5876,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4757,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
4535,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,634b019c131faf32332e429d,"11/02/2022, 16:39:26"
