RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4372,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
5062,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2674,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2080,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4075,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2319,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2736,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
2371,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
4051,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3155,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
3162,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5efca85159e09c06e7d064ba,"11/02/2022, 16:10:11"
