RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2035,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2683,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4663,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1209,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4087,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3516,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2796,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1101,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3046,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1449,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2744,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3403,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4705,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2230,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4036,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1686,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1456,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2586,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
5506,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2491,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1914,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1699,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3971,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
6419,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
12046,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2374,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2454,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1528,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2185,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2963,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4872,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3193,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
5894,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2615,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
3639,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2864,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2277,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1861,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2549,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1797,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
4163,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1725,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2397,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2962,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1881,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
2429,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
1960,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
file,isFamiliar,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_F_nicola_sturgeon.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_nicolas_cage.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_bill_clinton.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_Judi_Dench.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_angelina_jolie.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_F_hillary_clinton.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_keira_knightley.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_robert_de_niro.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_F_tehresy_may.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_Hugh_Grant.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_Tony_Blair.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_david_cameron.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_michael_caine.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_jennifer_aniston.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_george_Wbush.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_Kate_Winslet.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_tom_hankes.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_boris_johnson.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_sandra_bullock.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_donald_trump.jpg,1,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
file,imageryAns,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_robert_de_niro.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_michael_caine.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_bill_clinton.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_boris_johnson.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_Tony_Blair.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_nicolas_cage.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_jennifer_aniston.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_angelina_jolie.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_F_nicola_sturgeon.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_F_hillary_clinton.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_george_Wbush.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_donald_trump.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_M_david_cameron.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_keira_knightley.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_sandra_bullock.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_Hugh_Grant.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
P_F_tehresy_may.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_Kate_Winslet.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_F_Judi_Dench.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
E_M_tom_hankes.jpg,5,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
age: 26,gender: Female,handedness: right,576728c8236f930001a69a71,"11/02/2022, 16:06:58"
