RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1701,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1525,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1848,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2777,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2399,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1558,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2233,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
54707,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1721,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1147,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1417,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2108,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1850,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1913,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
3481,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
2079,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1610,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
1694,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,601c277aabe00c6bc759bf69,"11/02/2022, 16:13:12"
