RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2035,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2561,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
3276,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2282,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
40936,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
13446,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2058,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2937,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
3923,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2113,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1970,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1882,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1837,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
