RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1569,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1281,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1424,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1343,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1590,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1420,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1528,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1549,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3403,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1936,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1769,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2263,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2666,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1427,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1121,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1688,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1758,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2232,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1227,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1256,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2511,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1204,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2589,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2719,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2098,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2721,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1029,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1391,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1123,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1840,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1433,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1685,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
5582,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2154,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1818,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1886,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2186,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2426,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2057,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2742,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1467,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2195,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1508,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1165,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1305,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2060,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
3821,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1419,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1768,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
4177,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
2951,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1707,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
1930,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
file,isFamiliar,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_george_Wbush.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_F_hillary_clinton.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_Kate_Winslet.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_boris_johnson.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_bill_clinton.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_Hugh_Grant.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_Judi_Dench.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_F_nicola_sturgeon.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_donald_trump.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_robert_de_niro.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_david_cameron.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_jennifer_aniston.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_F_tehresy_may.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_tom_hankes.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_sandra_bullock.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_Tony_Blair.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_angelina_jolie.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_keira_knightley.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_michael_caine.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_nicolas_cage.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
file,imageryAns,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_boris_johnson.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_jennifer_aniston.jpg,2,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_sandra_bullock.jpg,3,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_bill_clinton.jpg,2,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_keira_knightley.jpg,2,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_F_hillary_clinton.jpg,2,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_Kate_Winslet.jpg,3,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_Hugh_Grant.jpg,2,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_david_cameron.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_michael_caine.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_F_nicola_sturgeon.jpg,3,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_angelina_jolie.jpg,3,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_donald_trump.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_F_Judi_Dench.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_george_Wbush.jpg,3,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_M_Tony_Blair.jpg,3,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_robert_de_niro.jpg,2,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_nicolas_cage.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
E_M_tom_hankes.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
P_F_tehresy_may.jpg,1,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
age: 29,gender: Male,handedness: right,59fb1518b47dfc0001b6659b,"11/02/2022, 16:13:22"
