RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2593,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3696,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3232,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
7728,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3070,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4229,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4457,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2376,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3737,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2317,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
6988,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
6263,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4765,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2177,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5915,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2340,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2142,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4414,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5665,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3933,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5988,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3155,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5332,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3793,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3636,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2829,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
8816,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
7440,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3145,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2420,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1974,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2883,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4275,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3323,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2811,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4938,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2865,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
6592,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
6435,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3359,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
5826,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4299,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2202,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1709,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1590,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1966,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4811,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3177,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
8091,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
8823,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4844,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2202,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4600,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
