"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
4263,"E_F_angelina_jolie.png","P_M_boris_johnson.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_angelina_jolie.png P_M_boris_johnson.png",0.359724757552318,"27","Female","right",0,0,FALSE
4335,"E_F_keira_knightley.png","P_F_nicola_sturgeon.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_keira_knightley.png P_F_nicola_sturgeon.png",0.359724757552318,"27","Female","right",1,1,FALSE
5414,"E_F_angelina_jolie.png","E_F_jennifer_aniston.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_angelina_jolie.png E_F_jennifer_aniston.png",0.359724757552318,"27","Female","right",0,0,FALSE
9046,"E_F_sandra_bullock.png","P_M_david_cameron.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_sandra_bullock.png P_M_david_cameron.png",0.359724757552318,"27","Female","right",1,0,FALSE
5925,"E_F_jennifer_aniston.png","P_M_david_cameron.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_jennifer_aniston.png P_M_david_cameron.png",0.359724757552318,"27","Female","right",0,0,FALSE
3967,"E_F_Judi_Dench.png","E_F_Kate_Winslet.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_Judi_Dench.png E_F_Kate_Winslet.png",0.359724757552318,"27","Female","right",1,0,FALSE
3295,"E_F_keira_knightley.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_keira_knightley.png P_M_Tony_Blair.png",0.359724757552318,"27","Female","right",1,0,FALSE
3662,"E_M_nicolas_cage.png","P_F_tehresy_may.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_nicolas_cage.png P_F_tehresy_may.png",0.359724757552318,"27","Female","right",0,0,FALSE
7007,"E_M_robert_de_niro.png","P_M_bill_clinton.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_robert_de_niro.png P_M_bill_clinton.png",-4.00289464255026,"27","Female","right",1,0,FALSE
2534,"E_M_robert_de_niro.png","P_F_hillary_clinton.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_robert_de_niro.png P_F_hillary_clinton.png",0.359724757552318,"27","Female","right",1,0,FALSE
