RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2323,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
7086,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
4246,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
3553,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2334,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1240,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2147,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1204,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2090,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1365,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1505,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1989,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2096,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1790,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2322,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1265,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1920,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1034,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1636,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2852,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2430,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
19034,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
1542,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
2195,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f7ed50265882f1bdd4b50d7,"06/18/2022, 06:30:14"
