RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5427,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2576,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4064,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3124,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4964,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2872,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3310,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2792,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3569,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4590,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3105,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3407,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3735,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5135,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4496,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3290,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3673,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3528,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2853,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2541,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4932,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2609,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5129,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3977,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5608,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3191,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3021,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4011,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3207,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3131,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3472,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
6313,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
6963,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4027,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5960,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4448,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3008,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3457,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
7514,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2506,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4354,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3608,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4408,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3209,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5582,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
4888,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2467,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2675,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2621,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
3638,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
2509,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
5249,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
13374,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,608a31e9a72dca5499161434,"08/11/2022, 19:57:29"
