RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3326,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3106,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2740,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3563,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5397,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3520,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
4834,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2733,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5423,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3172,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5298,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
5086,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2416,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2752,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
1944,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
1944,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
2269,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
6401,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
3791,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,597ba81afd9fe500011672e2,"06/18/2022, 21:40:48"
