RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1396,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1575,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3566,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2020,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1665,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1880,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2250,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2921,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2516,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2298,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
2911,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1679,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3546,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
3257,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1717,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1618,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1983,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
1799,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f77909866be1b30356654c1,"06/17/2022, 07:25:32"
