RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_liberman.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_moniMo.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_yehimovitz.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_peretz.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_lapid.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_shaked.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_tavori.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_shaniCo.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_zamir.jpg,0,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_rita.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_ivri.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_ornaBanai.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_yanai.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_smootchi.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_alfi.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_michaeli.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
P_benet.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
E_katorza.jpg,1,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
age: 24,gender: F,handedness: right,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
