RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2489,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
3661,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2359,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1881,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1875,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1733,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2466,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2729,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1641,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1630,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1682,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1869,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
4608,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1387,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
2529,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
1399,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e79f76e322a390009da889e,"08/10/2022, 12:30:22"
